"Garage Type","Garage Area"
Attchd,528.0
Attchd,730.0
Attchd,312.0
Attchd,522.0
Attchd,482.0
Attchd,470.0
Attchd,582.0
Attchd,506.0
Attchd,608.0
Attchd,442.0
Attchd,440.0
Attchd,420.0
Attchd,393.0
Attchd,506.0
Attchd,528.0
BuiltIn,841.0
Basment,492.0
Attchd,834.0
Detchd,400.0
Attchd,500.0
Attchd,546.0
Attchd,528.0
Attchd,663.0
Attchd,480.0
Attchd,500.0
Attchd,304.0
Attchd,525.0
"",0.0
Attchd,511.0
Detchd,264.0
Detchd,320.0
Detchd,264.0
Attchd,440.0
Attchd,440.0
Attchd,308.0
Attchd,440.0
Attchd,751.0
Attchd,772.0
Attchd,606.0
Attchd,868.0
Attchd,532.0
Attchd,730.0
Attchd,678.0
Attchd,532.0
Attchd,820.0
Attchd,484.0
Attchd,958.0
Attchd,756.0
Attchd,576.0
Attchd,484.0
BuiltIn,474.0
Attchd,430.0
Attchd,437.0
Attchd,430.0
BuiltIn,400.0
BuiltIn,440.0
BuiltIn,433.0
BuiltIn,400.0
BuiltIn,434.0
BuiltIn,779.0
Attchd,962.0
Attchd,527.0
Attchd,712.0
Attchd,671.0
Attchd,486.0
Attchd,666.0
Attchd,880.0
Attchd,676.0
Attchd,614.0
Attchd,750.0
Attchd,678.0
Attchd,528.0
BuiltIn,618.0
Attchd,484.0
Attchd,463.0
Attchd,264.0
Attchd,462.0
Attchd,264.0
Attchd,264.0
Attchd,457.0
Attchd,480.0
Attchd,476.0
Detchd,429.0
Attchd,539.0
Detchd,576.0
Detchd,336.0
Detchd,280.0
Attchd,308.0
Detchd,260.0
Attchd,461.0
Attchd,564.0
Attchd,762.0
Attchd,713.0
Attchd,506.0
Attchd,588.0
Detchd,480.0
Detchd,480.0
Detchd,480.0
Detchd,480.0
Attchd,484.0
Detchd,440.0
Detchd,440.0
Detchd,484.0
Attchd,496.0
Attchd,852.0
Attchd,592.0
Detchd,484.0
Attchd,484.0
Attchd,475.0
Attchd,596.0
Attchd,535.0
Attchd,660.0
Attchd,480.0
Attchd,678.0
Attchd,496.0
Attchd,676.0
Attchd,441.0
Attchd,490.0
Attchd,528.0
"",0.0
Attchd,504.0
Attchd,517.0
Attchd,480.0
Attchd,484.0
Attchd,480.0
"",0.0
Attchd,240.0
Detchd,400.0
Attchd,470.0
"",0.0
"",0.0
Attchd,280.0
Basment,364.0
Attchd,244.0
Attchd,315.0
Detchd,480.0
Attchd,576.0
Attchd,578.0
Attchd,576.0
Attchd,620.0
Attchd,308.0
Attchd,447.0
Attchd,294.0
Attchd,312.0
Attchd,531.0
Attchd,461.0
Attchd,312.0
Attchd,440.0
Attchd,263.0
Detchd,318.0
Attchd,305.0
Attchd,264.0
Detchd,246.0
Detchd,676.0
Detchd,392.0
Attchd,490.0
Attchd,308.0
Attchd,330.0
Detchd,576.0
Detchd,576.0
BuiltIn,564.0
Detchd,280.0
Attchd,305.0
Detchd,720.0
Detchd,576.0
Attchd,440.0
Detchd,484.0
Attchd,440.0
Attchd,442.0
Basment,240.0
"",0.0
"",0.0
Detchd,360.0
Detchd,551.0
Detchd,379.0
Attchd,220.0
Attchd,240.0
Detchd,484.0
Detchd,240.0
Detchd,240.0
Detchd,315.0
Detchd,780.0
Detchd,484.0
Detchd,288.0
Detchd,416.0
Detchd,624.0
"",0.0
Attchd,923.0
Detchd,528.0
Detchd,560.0
Detchd,624.0
Detchd,363.0
Detchd,315.0
Detchd,200.0
Detchd,240.0
Detchd,576.0
Detchd,240.0
Detchd,312.0
Detchd,624.0
Detchd,480.0
Detchd,288.0
Detchd,480.0
Detchd,572.0
"",0.0
Detchd,180.0
CarPort,516.0
"",0.0
Detchd,672.0
Attchd,349.0
Attchd,365.0
Detchd,180.0
"",0.0
Detchd,231.0
"",0.0
Detchd,450.0
"",0.0
"",0.0
"",0.0
Attchd,504.0
Detchd,528.0
Detchd,336.0
Attchd,270.0
Detchd,416.0
Attchd,299.0
Detchd,280.0
Attchd,591.0
Attchd,480.0
Attchd,440.0
Attchd,533.0
Attchd,690.0
Detchd,440.0
Attchd,436.0
Attchd,586.0
Attchd,522.0
Attchd,480.0
Basment,366.0
Attchd,467.0
Attchd,596.0
Detchd,209.0
Attchd,366.0
Attchd,460.0
Attchd,572.0
Detchd,504.0
Detchd,308.0
Attchd,476.0
Attchd,528.0
2Types,1017.0
Attchd,574.0
Attchd,564.0
Attchd,776.0
Attchd,632.0
Attchd,740.0
Attchd,615.0
Attchd,594.0
Detchd,484.0
Attchd,440.0
Attchd,580.0
Attchd,513.0
Attchd,523.0
Attchd,308.0
Attchd,299.0
Attchd,308.0
Detchd,484.0
Attchd,850.0
Attchd,670.0
Attchd,613.0
Attchd,621.0
Attchd,598.0
Attchd,420.0
Attchd,420.0
Attchd,502.0
Attchd,606.0
Attchd,494.0
Detchd,240.0
Detchd,319.0
"",0.0
Attchd,336.0
Detchd,480.0
Detchd,352.0
Detchd,672.0
"",0.0
Attchd,440.0
Detchd,220.0
Detchd,280.0
Basment,364.0
Detchd,260.0
Detchd,216.0
Detchd,200.0
Detchd,308.0
Detchd,399.0
"",0.0
"",0.0
Detchd,336.0
Attchd,312.0
Detchd,484.0
Attchd,252.0
Attchd,567.0
BuiltIn,473.0
Attchd,598.0
Attchd,531.0
Attchd,484.0
Detchd,240.0
Detchd,200.0
Detchd,625.0
Detchd,528.0
Detchd,384.0
Basment,504.0
Detchd,330.0
Attchd,525.0
